descricao;grupo;energia_kcal;proteina_g;carboidrato_g;lipideos_g;fibra_g;calcio_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg
Arroz, integral, cozido;Cereais e derivados;124;2.6;25.8;1.0;2.7;5;0.3;1;55;0
Arroz, tipo 1, cozido;Cereais e derivados;128;2.5;28.1;0.2;1.6;4;0.1;1;29;0
Arroz, tipo 2, cozido;Cereais e derivados;130;2.4;28.2;0.3;1.5;3;0.1;1;27;0
Aveia, flocos, crua;Cereais e derivados;394;13.9;66.6;8.5;9.1;48;4.4;5;336;0
Biscoito, doce, maisena;Cereais e derivados;443;8.1;75.2;12.0;2.1;21;2.0;352;112;0
Biscoito, doce, recheado com chocolate;Cereais e derivados;472;6.4;66.0;20.8;3.0;26;3.5;304;167;0
Biscoito, doce, wafer, recheado de chocolate;Cereais e derivados;502;5.6;64.4;25.0;1.8;35;1.8;116;152;0
Biscoito, salgado, cream cracker;Cereais e derivados;432;9.8;68.7;14.4;2.5;21;1.8;854;115;0
Bolo, pronto, chocolate;Cereais e derivados;410;5.2;52.4;21.0;1.4;62;1.6;308;128;0
Cereal matinal, milho;Cereais e derivados;374;7.0;85.5;0.9;3.9;4;5.8;723;97;0
Creme de arroz, pó;Cereais e derivados;364;7.2;80.1;1.0;0.5;10;0.3;Tr;75;0
Curau, milho verde;Cereais e derivados;128;2.9;21.2;3.8;1.5;27;0.3;35;95;1.2
Farinha, de arroz, enriquecida;Cereais e derivados;364;7.2;80.1;1.0;0.5;10;0.3;Tr;75;0
Farinha, de centeio, integral;Cereais e derivados;336;12.5;73.3;1.8;15.5;40;4.0;1;717;0
Farinha, de mandioca, crua;Cereais e derivados;361;1.6;87.9;0.3;6.4;62;1.0;2;56;0
Farinha, de milho, amarela;Cereais e derivados;351;7.2;79.1;1.5;5.5;3;1.0;1;142;0
Farinha, de rosca;Cereais e derivados;371;11.1;73.0;3.5;3.8;38;1.5;736;152;0
Farinha, de trigo;Cereais e derivados;360;9.8;75.1;1.4;2.3;18;1.0;Tr;126;0
Farinha, láctea, de cereais;Cereais e derivados;408;10.0;71.0;10.0;1.5;350;7.0;180;400;30
Macarrão, trigo, cru;Cereais e derivados;371;10.0;77.9;1.2;2.9;21;1.3;Tr;223;0
Macarrão, trigo, cozido;Cereais e derivados;102;3.4;19.9;0.5;1.5;7;0.4;Tr;15;0
Macarrão, instantâneo;Cereais e derivados;436;9.5;56.4;18.8;2.5;17;1.5;1667;120;0
Milho, amido (maisena);Cereais e derivados;361;0.3;87.6;0.1;0.1;2;0.1;Tr;Tr;0
Milho, verde, enlatado, drenado;Cereais e derivados;100;3.2;17.1;1.6;3.9;3;0.4;287;172;4.5
Pão, de batata, assado;Cereais e derivados;281;7.0;49.0;6.0;2.0;30;1.5;400;150;0
Pão, de forma, tradicional;Cereais e derivados;253;7.9;49.9;2.2;2.5;75;1.5;522;119;0
Pão, de queijo, assado;Cereais e derivados;363;5.1;34.2;22.6;0.5;115;0.5;540;60;0
Pão, francês;Cereais e derivados;300;8.0;58.6;3.1;2.3;22;1.0;648;120;0
Pão, integral, trigo;Cereais e derivados;253;9.4;49.9;3.4;6.9;49;2.4;457;225;0
Pão, milho;Cereais e derivados;310;7.5;57.0;5.5;2.0;25;1.2;450;130;0
Pipoca, com óleo de soja, sem sal;Cereais e derivados;448;9.0;51.5;23.6;10.6;10;2.0;4;301;0
Polenta, pré-cozida;Cereais e derivados;107;2.4;22.8;0.5;1.4;2;0.3;Tr;28;0
Tapioca, goma;Cereais e derivados;343;0.5;84.5;0.1;0.5;15;0.3;Tr;15;0
Torrada, pão francês;Cereais e derivados;395;10.5;77.0;4.1;3.0;29;1.3;852;158;0
Trigo, farelo;Cereais e derivados;212;14.1;28.6;4.0;35.3;64;9.4;2;1182;0
Trigo, gérmen;Cereais e derivados;360;28.0;44.0;10.0;13.0;45;6.0;4;892;0
Trigo, grão, integral, cru;Cereais e derivados;317;14.0;59.0;2.5;12.0;30;3.5;2;340;0
Abacate, cru;Frutas e derivados;96;1.2;6.0;8.4;6.3;8;0.2;Tr;206;8.7
Abacaxi, cru;Frutas e derivados;48;0.9;12.3;0.1;1.0;22;0.3;Tr;131;34.6
