descricao;grupo;energia_kcal;proteina_g;carboidrato_g;lipideos_g;fibra_g;calcio_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg
Abacate, cru;Frutas e derivados;96;1,2;6,0;8,4;6,3;8;0,2;Tr;206;8,7
Abacaxi, cru;Frutas e derivados;48;0,9;12,3;0,1;1,0;22;0,3;Tr;131;34,6
Açúcar, cristal;Açúcares e doces;387;0;99,6;0;0;1;0,1;Tr;2;0
Azeite, de oliva, extra virgem;Óleos e gorduras;884;0;0;100;0;0;0;Tr;0;0
Manteiga, com sal;Óleos e gorduras;726;0,4;0;82,4;0;15;0;625;24;0
Queijo, mussarela;Leites e derivados;330;22,6;3,0;25,2;0;505;0,3;604;68;0
Iogurte, natural, integral;Leites e derivados;51;4,1;4,9;1,5;0;143;0,1;70;234;0,6
Salmão, cru;Pescados e frutos do mar;170;19,9;0;9,7;0;12;0,3;59;363;0
Camarão, cozido;Pescados e frutos do mar;91;19,4;0;1,1;0;72;2,4;566;182;0
Espinafre, cru;Verduras, hortaliças e derivados;16;2,0;1,6;0,2;2,1;79;2,4;70;466;9,8
